locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBCMMFKD_00864	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
JBCMMFKD_00865	CDS	726	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
JBCMMFKD_00866	CDS	558	lptA		COG1934	Lipopolysaccharide export system protein LptA
JBCMMFKD_00867	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
JBCMMFKD_00868	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
JBCMMFKD_00869	CDS	987	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
JBCMMFKD_00870	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
JBCMMFKD_00871	CDS	810	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
JBCMMFKD_00872	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
JBCMMFKD_00873	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
JBCMMFKD_00874	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
JBCMMFKD_00875	CDS	294	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
JBCMMFKD_00876	CDS	270	ibaG		COG5007	Acid stress protein IbaG
JBCMMFKD_00877	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
JBCMMFKD_00878	CDS	279				hypothetical protein
JBCMMFKD_00879	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
JBCMMFKD_00880	CDS	312	rplU		COG0261	50S ribosomal protein L21
JBCMMFKD_00881	CDS	258	rpmA		COG0211	50S ribosomal protein L27
JBCMMFKD_00882	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
JBCMMFKD_00883	CDS	1173	obgE	3.6.5.-	COG0536	GTPase ObgE/CgtA
JBCMMFKD_00884	CDS	1434	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
JBCMMFKD_00885	CDS	477	greA		COG0782	Transcription elongation factor GreA
JBCMMFKD_00886	CDS	294	yhbY		COG1534	RNA-binding protein YhbY
JBCMMFKD_00887	CDS	630	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
JBCMMFKD_00888	CDS	1944	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
JBCMMFKD_00889	CDS	849	folP	2.5.1.15	COG0294	Dihydropteroate synthase
JBCMMFKD_00890	CDS	1338	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
JBCMMFKD_00891	CDS	333	secG		COG1314	Protein-export membrane protein SecG
JBCMMFKD_00892	tRNA	87				tRNA-Leu(gag)
JBCMMFKD_00893	CDS	1626	yhbX	2.-.-.-	COG2194	Putative transferase YhbX
JBCMMFKD_00894	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
JBCMMFKD_00895	tRNA	77				tRNA-Met(cat)
JBCMMFKD_00896	CDS	423	rimP		COG0779	Ribosome maturation factor RimP
JBCMMFKD_00897	CDS	1488	nusA		COG0195	Transcription termination/antitermination protein NusA
JBCMMFKD_00898	CDS	2673	infB		COG0532	Translation initiation factor IF-2
JBCMMFKD_00899	CDS	402	rbfA		COG0858	30S ribosome-binding factor
JBCMMFKD_00900	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
JBCMMFKD_00901	CDS	270	rpsO		COG0184	30S ribosomal protein S15
JBCMMFKD_00902	CDS	2136	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
JBCMMFKD_00903	CDS	885	nlpI		COG4785	Lipoprotein NlpI
JBCMMFKD_00904	CDS	1890	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
JBCMMFKD_00905	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
JBCMMFKD_00906	CDS	1008				hypothetical protein
JBCMMFKD_00907	CDS	879				hypothetical protein
JBCMMFKD_00908	CDS	996	yhbU	3.4.-.-	COG0826	putative protease YhbU
JBCMMFKD_00909	CDS	525	ubiJ_1			Ubiquinone biosynthesis accessory factor UbiJ
JBCMMFKD_00910	CDS	504				hypothetical protein
JBCMMFKD_00911	CDS	312				hypothetical protein
JBCMMFKD_00912	CDS	444				hypothetical protein
JBCMMFKD_00913	CDS	519	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
JBCMMFKD_00914	CDS	636				hypothetical protein
JBCMMFKD_00915	CDS	1041				hypothetical protein
JBCMMFKD_00916	CDS	576	osmY_1		COG2823	Osmotically-inducible protein Y
JBCMMFKD_00917	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
JBCMMFKD_00918	CDS	396				hypothetical protein
JBCMMFKD_00919	CDS	2037	lpoA		COG3107	Penicillin-binding protein activator LpoA
JBCMMFKD_00920	CDS	861	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
JBCMMFKD_00921	CDS	1092	yraK			putative fimbrial-like protein YraK
JBCMMFKD_00922	CDS	2517	yraJ		COG3188	Outer membrane usher protein YraJ
JBCMMFKD_00923	CDS	696	yraI			putative fimbrial chaperone YraI
JBCMMFKD_00924	CDS	585	yraH			putative fimbrial-like protein YraH
JBCMMFKD_00925	CDS	702	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase 1
JBCMMFKD_00926	CDS	792	manZ_1		COG3716	PTS system mannose-specific EIID component
JBCMMFKD_00927	CDS	804	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
JBCMMFKD_00928	CDS	477	sorB	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
JBCMMFKD_00929	CDS	861	kbaY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
JBCMMFKD_00930	CDS	1155	agaS	3.5.99.-	COG2222	Putative D-galactosamine-6-phosphate deaminase AgaS
JBCMMFKD_00931	CDS	1134	agaA	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
JBCMMFKD_00932	CDS	435	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
JBCMMFKD_00933	CDS	879	manZ_2		COG3716	PTS system mannose-specific EIID component
JBCMMFKD_00934	CDS	780	agaC_2		COG3715	N-acetylgalactosamine permease IIC component 1
JBCMMFKD_00935	CDS	474	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
JBCMMFKD_00936	CDS	1281	kbaZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ
JBCMMFKD_00937	CDS	810	srlR_2		COG1349	Glucitol operon repressor
JBCMMFKD_00938	CDS	303	yhaV	3.1.-.-		Ribonuclease toxin YhaV
JBCMMFKD_00939	CDS	405	prlF		COG2002	Antitoxin PrlF
JBCMMFKD_00940	CDS	1572	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
JBCMMFKD_00941	CDS	324				hypothetical protein
JBCMMFKD_00942	CDS	252				hypothetical protein
JBCMMFKD_00943	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
JBCMMFKD_00944	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
JBCMMFKD_00945	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
JBCMMFKD_00946	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
JBCMMFKD_00947	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
JBCMMFKD_00948	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
JBCMMFKD_00949	CDS	429	uspC		COG0589	Universal stress protein C
JBCMMFKD_00950	CDS	351	flhD			Flagellar transcriptional regulator FlhD
JBCMMFKD_00951	CDS	579	flhC			Flagellar transcriptional regulator FlhC
JBCMMFKD_00952	CDS	888	motA		COG1291	Motility protein A
JBCMMFKD_00953	CDS	927	motB		COG1360	Motility protein B
JBCMMFKD_00954	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
JBCMMFKD_00955	CDS	504	cheW		COG0835	Chemotaxis protein CheW
JBCMMFKD_00956	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
JBCMMFKD_00957	CDS	1602	tap		COG0840	Methyl-accepting chemotaxis protein IV
JBCMMFKD_00958	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
JBCMMFKD_00959	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
JBCMMFKD_00960	CDS	390	cheY		COG0784	Chemotaxis protein CheY
JBCMMFKD_00961	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
JBCMMFKD_00962	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
JBCMMFKD_00963	CDS	2079	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
JBCMMFKD_00964	CDS	393	flhE			Flagellar protein FlhE
JBCMMFKD_00965	CDS	489				hypothetical protein
JBCMMFKD_00966	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
JBCMMFKD_00967	CDS	567	yecM		COG3102	Protein YecM
JBCMMFKD_00968	CDS	747	cutC_2		COG3142	Copper homeostasis protein CutC
JBCMMFKD_00969	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
JBCMMFKD_00970	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
JBCMMFKD_00971	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
JBCMMFKD_00972	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
JBCMMFKD_00973	CDS	396	yecN		COG3788	Inner membrane protein YecN
JBCMMFKD_00974	CDS	819				hypothetical protein
JBCMMFKD_00975	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
JBCMMFKD_00976	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
JBCMMFKD_00977	CDS	510	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
JBCMMFKD_00978	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
JBCMMFKD_00979	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
JBCMMFKD_00980	CDS	603				hypothetical protein
JBCMMFKD_00981	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
JBCMMFKD_00982	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
JBCMMFKD_00983	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
JBCMMFKD_00984	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
JBCMMFKD_00985	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
JBCMMFKD_00986	CDS	1323	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
JBCMMFKD_00987	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
JBCMMFKD_00988	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
JBCMMFKD_00989	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
JBCMMFKD_00990	CDS	150				hypothetical protein
JBCMMFKD_00991	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
JBCMMFKD_00992	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
JBCMMFKD_00993	CDS	642	eda		COG0800	KHG/KDPG aldolase
JBCMMFKD_00994	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
JBCMMFKD_00995	CDS	291				hypothetical protein
JBCMMFKD_00996	CDS	357	yebF			Protein YebF
JBCMMFKD_00997	CDS	207				hypothetical protein
JBCMMFKD_00998	CDS	111				hypothetical protein
JBCMMFKD_00999	CDS	660	yebE		COG2979	Inner membrane protein YebE
JBCMMFKD_01000	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
JBCMMFKD_01001	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
JBCMMFKD_01002	CDS	657				hypothetical protein
JBCMMFKD_01003	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
JBCMMFKD_01004	CDS	375	yobA		COG2372	Protein YobA
JBCMMFKD_01005	CDS	873	yebZ		COG1276	Inner membrane protein YebZ
JBCMMFKD_01006	CDS	342				hypothetical protein
JBCMMFKD_01007	CDS	657	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
JBCMMFKD_01008	CDS	276				hypothetical protein
JBCMMFKD_01009	CDS	237	yebV			putative protein YebV
JBCMMFKD_01010	CDS	1446	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
JBCMMFKD_01011	CDS	2634	yebT		COG3008	Intermembrane transport protein YebT
JBCMMFKD_01012	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
JBCMMFKD_01013	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
JBCMMFKD_01014	CDS	699	proQ		COG3109	RNA chaperone ProQ
JBCMMFKD_01015	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
JBCMMFKD_01016	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
JBCMMFKD_01017	CDS	1374	ribZ			Riboflavin transporter RibZ
JBCMMFKD_01018	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
JBCMMFKD_01019	CDS	240				hypothetical protein
JBCMMFKD_01020	CDS	288				hypothetical protein
JBCMMFKD_01021	CDS	210	cspC			Cold shock-like protein CspC
JBCMMFKD_01022	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
JBCMMFKD_01023	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
JBCMMFKD_01024	CDS	459				hypothetical protein
JBCMMFKD_01025	CDS	852	manZ_3		COG3716	PTS system mannose-specific EIID component
JBCMMFKD_01026	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
JBCMMFKD_01027	CDS	972	manX_2	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
JBCMMFKD_01028	CDS	1557				hypothetical protein
JBCMMFKD_01029	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
JBCMMFKD_01030	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
JBCMMFKD_01031	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
JBCMMFKD_01032	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
JBCMMFKD_01033	CDS	180				hypothetical protein
JBCMMFKD_01034	CDS	300				hypothetical protein
JBCMMFKD_01035	tRNA	88				tRNA-Ser(gga)
JBCMMFKD_01036	CDS	939	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
JBCMMFKD_01037	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
JBCMMFKD_01038	CDS	555	ycdY		COG3381	Chaperone protein YcdY
JBCMMFKD_01039	CDS	522	ycdZ			Inner membrane protein YcdZ
JBCMMFKD_01040	CDS	834	csgG		COG1462	Curli production assembly/transport component CsgG
JBCMMFKD_01041	CDS	417	csgF			Curli production assembly/transport component CsgF
JBCMMFKD_01042	CDS	390	csgE			Curli production assembly/transport component CsgE
JBCMMFKD_01043	CDS	651	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
JBCMMFKD_01044	CDS	456	csgB			Minor curlin subunit
JBCMMFKD_01045	CDS	456	csgA			Major curlin subunit
JBCMMFKD_01046	CDS	333	csgC			Curli assembly protein CsgC
JBCMMFKD_01047	CDS	312	ymdA			putative protein YmdA
JBCMMFKD_01048	CDS	534	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
JBCMMFKD_01049	CDS	1482	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
JBCMMFKD_01050	CDS	1158	mdoC	2.1.-.-		Glucans biosynthesis protein C
JBCMMFKD_01051	CDS	1503	mdoG		COG3131	Glucans biosynthesis protein G
JBCMMFKD_01052	CDS	2514	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
JBCMMFKD_01053	CDS	228				hypothetical protein
JBCMMFKD_01054	CDS	375				hypothetical protein
JBCMMFKD_01055	CDS	1227	sbnD			Staphyloferrin B transporter
JBCMMFKD_01056	CDS	921	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
JBCMMFKD_01057	CDS	1053				hypothetical protein
JBCMMFKD_01058	CDS	576	yceI		COG2353	Protein YceI
JBCMMFKD_01059	CDS	567	yceJ		COG3038	Cytochrome b561 
JBCMMFKD_01060	CDS	114	yceO			putative protein YceO
JBCMMFKD_01061	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
JBCMMFKD_01062	CDS	258	bssS			Biofilm regulator BssS
JBCMMFKD_01063	CDS	246	dinI			DNA damage-inducible protein I
JBCMMFKD_01064	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
JBCMMFKD_01065	CDS	561	yceB			putative lipoprotein YceB
JBCMMFKD_01066	CDS	648	grxB		COG2999	Glutaredoxin 2
JBCMMFKD_01067	CDS	1209	mdtH			Multidrug resistance protein MdtH
JBCMMFKD_01068	CDS	585	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
JBCMMFKD_01069	CDS	648				hypothetical protein
JBCMMFKD_01070	CDS	924	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
JBCMMFKD_01071	CDS	1536	murJ		COG0728	Lipid II flippase MurJ
JBCMMFKD_01072	CDS	417	flgN		COG3418	Flagella synthesis protein FlgN
JBCMMFKD_01073	CDS	294	flgM		COG2747	Negative regulator of flagellin synthesis
JBCMMFKD_01074	CDS	660	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
JBCMMFKD_01075	CDS	417	flgB		COG1815	Flagellar basal body rod protein FlgB
JBCMMFKD_01076	CDS	405	flgC		COG1558	Flagellar basal-body rod protein FlgC
JBCMMFKD_01077	CDS	696	flgD		COG1843	Basal-body rod modification protein FlgD
JBCMMFKD_01078	CDS	1206	flgE		COG1749	Flagellar hook protein FlgE
JBCMMFKD_01079	CDS	756	flgF		COG4787	Flagellar basal-body rod protein FlgF
JBCMMFKD_01080	CDS	783	flgG		COG4786	Flagellar basal-body rod protein FlgG
JBCMMFKD_01081	CDS	699	flgH			Flagellar L-ring protein
JBCMMFKD_01082	CDS	1098	flgI			Flagellar P-ring protein
JBCMMFKD_01083	CDS	942	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
JBCMMFKD_01084	CDS	1644	flgK		COG1256	Flagellar hook-associated protein 1
JBCMMFKD_01085	CDS	954	flgL		COG1344	Flagellar hook-associated protein 3
JBCMMFKD_01086	CDS	3186	rne	3.1.26.12	COG1530	Ribonuclease E
JBCMMFKD_01087	CDS	960	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
JBCMMFKD_01088	CDS	624	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
JBCMMFKD_01089	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
JBCMMFKD_01090	CDS	174	rpmF		COG0333	50S ribosomal protein L32
JBCMMFKD_01091	CDS	1041	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
JBCMMFKD_01092	CDS	954	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
JBCMMFKD_01093	CDS	930	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
JBCMMFKD_01094	CDS	735	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JBCMMFKD_01095	CDS	237	acpP_1			Acyl carrier protein
JBCMMFKD_01096	CDS	1242	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
JBCMMFKD_01097	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
JBCMMFKD_01098	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
JBCMMFKD_01099	CDS	642	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
JBCMMFKD_01100	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
JBCMMFKD_01101	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
JBCMMFKD_01102	CDS	1434	ptsG		COG1263	PTS system glucose-specific EIICB component
JBCMMFKD_01103	CDS	2190	fhuE		COG4773	FhuE receptor
JBCMMFKD_01104	CDS	360	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
JBCMMFKD_01105	CDS	378				hypothetical protein
JBCMMFKD_01106	CDS	642	lpoB		COG3417	Penicillin-binding protein activator LpoB
JBCMMFKD_01107	CDS	825	thiK	2.7.1.89	COG0510	Thiamine kinase
JBCMMFKD_01108	CDS	1026	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
JBCMMFKD_01109	CDS	543				hypothetical protein
JBCMMFKD_01110	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
JBCMMFKD_01111	CDS	540				hypothetical protein
JBCMMFKD_01112	CDS	696	comR			HTH-type transcriptional repressor ComR
JBCMMFKD_01113	CDS	258	bhsA_1			Multiple stress resistance protein BhsA
JBCMMFKD_01114	CDS	960	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
JBCMMFKD_01115	CDS	3495	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
JBCMMFKD_01116	CDS	1074	ycfT		COG4763	Inner membrane protein YcfT
JBCMMFKD_01117	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
JBCMMFKD_01118	CDS	702	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
JBCMMFKD_01119	CDS	1239	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
JBCMMFKD_01120	CDS	432	nagK_1	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
JBCMMFKD_01121	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase A
JBCMMFKD_01122	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
JBCMMFKD_01123	CDS	942	zitB		COG1230	Zinc transporter ZitB
JBCMMFKD_01124	CDS	381				hypothetical protein
JBCMMFKD_01125	CDS	1053	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
JBCMMFKD_01126	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
JBCMMFKD_01127	CDS	1041	galM	5.1.3.3	COG2017	Aldose 1-epimerase
JBCMMFKD_01128	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
JBCMMFKD_01129	CDS	1047	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
JBCMMFKD_01130	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
JBCMMFKD_01131	CDS	1473	modF		COG1119	ABC transporter ATP-binding protein ModF
JBCMMFKD_01132	CDS	789	modE		COG2005	DNA-binding transcriptional dual regulator ModE
JBCMMFKD_01133	CDS	150	acrZ			Multidrug efflux pump accessory protein AcrZ
JBCMMFKD_01134	CDS	774	modA		COG0725	Molybdate-binding protein ModA
JBCMMFKD_01135	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
JBCMMFKD_01136	CDS	1059	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JBCMMFKD_01137	CDS	819	ybhA	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
JBCMMFKD_01138	CDS	996	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
JBCMMFKD_01139	CDS	954	oxyR_2			Hydrogen peroxide-inducible genes activator
JBCMMFKD_01140	CDS	1053	ybhH	5.-.-.-	COG2828	Putative isomerase YbhH
JBCMMFKD_01141	CDS	1434	ybhI		COG0471	Inner membrane protein YbhI
JBCMMFKD_01142	CDS	2262	leuC_1	4.2.1.33		3-isopropylmalate dehydratase large subunit
JBCMMFKD_01143	CDS	1284	ybhC	3.1.2.-	COG4677	Putative acyl-CoA thioester hydrolase YbhC
JBCMMFKD_01144	CDS	1071	xerC_1			Tyrosine recombinase XerC
JBCMMFKD_01145	CDS	168				hypothetical protein
JBCMMFKD_01146	CDS	285				hypothetical protein
JBCMMFKD_01147	CDS	285				hypothetical protein
JBCMMFKD_01148	CDS	180				hypothetical protein
JBCMMFKD_01149	CDS	126				hypothetical protein
JBCMMFKD_01150	CDS	549				hypothetical protein
JBCMMFKD_01151	CDS	552				hypothetical protein
JBCMMFKD_01152	CDS	1623				hypothetical protein
JBCMMFKD_01153	CDS	762				hypothetical protein
JBCMMFKD_01154	CDS	486				hypothetical protein
JBCMMFKD_01155	CDS	396				hypothetical protein
JBCMMFKD_01156	CDS	1026				hypothetical protein
JBCMMFKD_01157	CDS	903				hypothetical protein
JBCMMFKD_01158	CDS	1146				hypothetical protein
JBCMMFKD_01159	CDS	477				hypothetical protein
JBCMMFKD_01160	CDS	1290	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
JBCMMFKD_01161	CDS	1041	bioB	2.8.1.6	COG0502	Biotin synthase
JBCMMFKD_01162	CDS	1155	bioF_1	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
JBCMMFKD_01163	CDS	756	bioC	2.1.1.197	COG0500	Malonyl-[acyl-carrier protein] O-methyltransferase
JBCMMFKD_01164	CDS	678	bioD1_2	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
JBCMMFKD_01165	CDS	2022	uvrB		COG0556	UvrABC system protein B
JBCMMFKD_01166	CDS	909	ybhK		COG0391	Putative gluconeogenesis factor
JBCMMFKD_01167	CDS	990	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
JBCMMFKD_01168	CDS	513	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
JBCMMFKD_01169	CDS	486	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
JBCMMFKD_01170	CDS	246	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
JBCMMFKD_01171	CDS	453	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
JBCMMFKD_01172	CDS	705	ybhL		COG0670	Inner membrane protein YbhL
JBCMMFKD_01173	CDS	714				hypothetical protein
JBCMMFKD_01174	CDS	957	ybhN		COG0392	Inner membrane protein YbhN
JBCMMFKD_01175	CDS	1242	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
JBCMMFKD_01176	CDS	762				hypothetical protein
JBCMMFKD_01177	CDS	411	ybhQ			Inner membrane protein YbhQ
JBCMMFKD_01178	CDS	1107	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
JBCMMFKD_01179	CDS	1134	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
JBCMMFKD_01180	CDS	1737	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
JBCMMFKD_01181	CDS	996				hypothetical protein
JBCMMFKD_01182	CDS	672	cecR		COG1309	HTH-type transcriptional dual regulator CecR
JBCMMFKD_01183	CDS	1365	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
